Measurement,Distance from detector (cm),Distance uncertainty,Counts per second,Uncertainty
7.3,6.3,0.01,405.09,8.1018
8.8,7.8,0.01,306.04,6.1208
9.6,8.9,0.01,261.72,5.2344
11.8,10,0.01,225.91,4.5182
12.7,11.3,0.01,189.93,3.7986
13.5,12.5,0.01,152.59,3.0518
15.6,14.6,0.01,120.96,2.4192
17.6,16.6,0.01,94.86,1.8972
19.5,18.5,0.01,80.28,1.6056
21.9,20.9,0.01,65.85,1.317
24.9,23.9,0.01,52.24,1.0448
27.75,26.75,0.01,43.03,0.8606
30.65,29.65,0.01,35.58,0.7116
34.05,33.05,0.01,28.81,0.5762
36.7,35.7,0.01,27.08,0.5416
39.7,38.7,0.01,20.7,0.414
42.7,41.7,0.01,18.58,0.3716
45.2,44.2,0.01,18.02,0.3604
47.6,46.6,0.01,15.23,0.3046
50.5,49.5,0.01,13.26,0.2652
51.1,50.1,0.01,13.15,0.263
